id,title,date,genres,keyword1,keyword2,keyword3,keyword4,keyword5,link,profile
41,2023-2학기 취업연계실무 교과목 신청 안내(기간연장),2023-06-16,학사,취업,실무,교과목,신청,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92716,
42,[전체] 2023-2학기 전과 모집 공고,2023-06-14,학사,학기,전과,모집,아래,공고,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92700,
43,2023-2학기 재입학 모집 공고,2023-06-13,학사,학기,입학,아래,공고,아래,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92687,
44,2023-2학기 미등록 휴학기간 공고,2023-06-12,학사,학기,미등록,휴학,기간,공고,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92684,
45,"[전체, 강의평가] 기말 강의평가(6/15~6/29) 실시 안내(2023-1학기)",2023-06-07,학사,학년,학기,강의,평가,실시,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92639,
46,"2023 하계 계절학기 폐강과목 공지 및 현금등록, 환불신청안내",2023-06-01,학사,학년,도하,계절,학기,폐강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92614,
47,[전체] 2023-1학기 기말고사 안내,2023-06-01,학사,학기,기말고사,아래,안내,아래,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92610,
48,2023-1학기 학점(성적)유예제 신청 공고,2023-05-08,학사,학기,학점,성적,유예,신청,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92425,
49,"[전체, 강의평가] 중간강의평가(2차, 5/11~5/17) 실시 안내(2023-1학기)",2023-05-04,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92421,
50,2023학년도 타대학(부산외국어대학교) 하계 계절학기 수강 안내,2023-05-04,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92419,
51,[전체] 5월29일(월) 대체공휴일 지정에 따른 휴보강 안내,2023-05-02,학사,석가탄신일,대체공휴일,지정,해당,일자,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92404,
52,[전체]근로자의 날(5/1) 휴업 안내,2023-04-28,학사,근로자의날,휴업,보강,일정,확인,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92382,
53,2023학년도 타대학(동아대학교) 하계 계절학기 수강 안내,2023-04-28,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92378,
54,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=93565,
55,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=93550,
56,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=93534,
57,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=93429,
58,2023학년도 타대학(동의대학교) 하계 계절학기 수강 안내,2023-04-26,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92370,
59,2023학년도 타대학(부경대학교) 하계 계절학기 수강 안내,2023-04-25,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92361,
60,2023학년도 타대학(경상국립대학교) 하계 계절학기 수강 안내,2023-04-24,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92344,
61,2023학년도 타대학(한국해양대학교) 하계 계절학기 수강 안내,2023-04-24,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92342,
62,2023학년도 타대학(경성대학교) 하계 계절학기 수강 안내,2023-04-24,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92332,
63,2023학년도 타대학(부산대학교) 하계 계절학기 수강 안내,2023-04-20,학사,학년,대학,계절,학기,수강,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92308,
64,2023 하계 계절학기 시행 안내,2023-04-18,학사,학년,도하,계절,학기,다음,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92286,
65,[전체] 2023-1학기 학생선택형 P/N 신청안내,2023-04-11,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92232,
66,[전체] 2023-1학기 중간고사 안내,2023-04-10,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92223,
67,"[전체, 강의평가] 중간강의평가(1차, 4/13~4/19) 실시 안내(2023-1학기)",2023-04-05,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92194,
68,"[졸업]2023학년도 1학기 졸업시험(영어,컴퓨터) 대체 프로그램 안내",2023-03-31,학사,학년,학기,졸업,시험,영어,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92166,
69,2023-1학기 학점포기 신청 공고,2023-03-23,학사,학기,학점,포기,신청,공고,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=92097,
70,[전체]2023-1학기 군복무 중 취득학점 인정 신청 공고,2023-03-13,학사,학기,군복무,취득,학점,인정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=91918,
71,[전체] 2023-1학기 K-MOOC 학점(일반선택학점 인정) 신청 공고,2023-03-13,학사,학기,학점,일반,선택,학점,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=91917,
72,2023-1학기 CBT 운영 안내,2023-03-13,학사,주의,사항,시험,당일,시험,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=4&mode=view&idx=91926,
73,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=93565,
74,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=93550,
75,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=93534,
76,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=93429,
77,[전체] 2023-1 2차 폐강 및 합반,2023-03-10,학사,학기,폐강,및합반강좌,알림,학기,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91910,
78,자기주도경험학습 교과목 안내 – 멀티캠퍼스 연계,2023-02-24,학사,경험,학습,교과목,안내,멀티,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91814,
79,"[전체,등록] 2023-1학기 등록금 추가 납부 안내",2023-02-23,학사,학기,등록금,추가,납부,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91797,
80,2023학년도 1학기 유고결석 및 취업계 신청 안내,2023-02-17,학사,학년,학기,유고,결석,취업,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91733,
81,[전체] 2023-1 1차 폐강 및 합반강좌(교양),2023-02-17,학사,학기,폐강,및합반강좌,교양,첨부파일,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91730,
82,[전체] 2023-1 1차 폐강 및 합반강좌(전공),2023-02-16,학사,학기,폐강,및합반강좌,전공,첨부파일,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91704,
83,[전체] 2023-1 수업운영 안내,2023-02-15,학사,우리,대학,실내,마스크,착용,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91701,
84,2023학년도 신입생 중 학부 모집 입학자 학과(전공) 선택안내,2023-02-14,학사,동서대학교,입학,환영,학년,신입생,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91692,
85,"[전체,등록] 2023-1학기 등록금 납부 안내",2023-02-09,학사,학기,등록금,납부,안내,학년,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91647,
86,2023-1학기 [자기주도경험학습]교과목 운영 신청 안내(멀티캠퍼스 연계),2023-02-08,학사,경험,학습,교과목,안내,멀티,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91632,
87,2023-1학기 교양교과목 추가 개설 및 개설 취소 안내,2023-02-07,학사,학기,교양,교과목,추가,개설,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91625,
88,[전체] 2023-1 부산디지털대학교 온라인강좌 수강안내,2023-02-06,학사,부산,디지털,대학교,진행,사이버,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91606,
89,2023-1 신입생/편입생 수강신청 안내,2023-02-03,학사,학년,학기,신입생,편입,수강신청,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91603,
90,[전체] 2023-1 OCU 컨소시엄 강좌 수강안내,2023-01-31,학사,한국,사이버,대학교,운영,컨소시엄,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91569,
91,[전체] 2023-1 수강신청 안내,2023-01-26,학사,구분,예비,수강신청,수강신청,강정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=5&mode=view&idx=91537,
92,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=93565,
93,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=93550,
94,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=93534,
95,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=93429,
96,[전체] 수강신청시스템 테스트 안내,2023-01-20,학사,학년,개편,수강신청,시스템,학생,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91499,
97,2023-1학기 [자기주도경험학습]교과목 운영 신청 안내(학생 설계 부분),2023-01-19,학사,학기,자기,주도,경험,학습,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91498,
